Rep,Compound,Area
240807_Smp_G5_UKG1_0nM_A,Glycine betaine,3017293824
240807_Smp_G5_UKG1_0nM_B,Glycine betaine,2665646080
240807_Smp_G5_UKG1_0nM_C,Glycine betaine,2152460288
240807_Smp_GBT-K1_M0nM_A,Glycine betaine,3861403136
240807_Smp_GBT-K1_M0nM_B,Glycine betaine,4822802944
240807_Smp_GBT-K1_M0nM_C,Glycine betaine,4501204992
240807_Smp_GBT-K2_M0nM_A,Glycine betaine,6981904896
240807_Smp_GBT-K2_M0nM_B,Glycine betaine,3570369280
240807_Smp_GBT-K2_M0nM_C,Glycine betaine,5451336192
240807_Smp_RC078_UKG1_0nM_A,Glycine betaine,31247687680
240807_Smp_RC078_UKG1_0nM_B,Glycine betaine,42726625280
240807_Smp_RC078_UKG1_0nM_C,Glycine betaine,37821005824
240807_Smp_RC078_UKH1_0nM_A,Glycine betaine,15386777600
240807_Smp_RC078_UKH1_0nM_B,Glycine betaine,15567262720
240807_Smp_RC078_UKH1_0nM_C,Glycine betaine,13906317312
240807_Smp_RC078_UKH2_0nM_A,Glycine betaine,47133544448
240807_Smp_RC078_UKH2_0nM_B,Glycine betaine,48981209088
240807_Smp_RC078_UKH2_0nM_C,Glycine betaine,49807994880
240807_Smp_RC104_UCH1_0nM_A,Glycine betaine,8044412416
240807_Smp_RC104_UCH1_0nM_B,Glycine betaine,10036676608
240807_Smp_RC104_UCH1_0nM_C,Glycine betaine,10214147072
240807_Smp_RC104_UKG1_0nM_A,Glycine betaine,5634436096
240807_Smp_RC104_UKG1_0nM_B,Glycine betaine,4641691648
240807_Smp_RC104_UKG1_0nM_C,Glycine betaine,5612440064
240807_Smp_RC104_UKH1_0nM_A,Glycine betaine,7744939520
240807_Smp_RC104_UKH1_0nM_B,Glycine betaine,5117385728
240807_Smp_RC104_UKH1_0nM_C,Glycine betaine,7415174656
240807_Smp_TN397_UCH1_0nM_A,Glycine betaine,4195690240
240807_Smp_TN397_UCH1_0nM_B,Glycine betaine,3171138560
240807_Smp_TN397_UCH1_0nM_C,Glycine betaine,1942266880
240807_Smp_TN397_UKH1_0nM_A,Glycine betaine,2342521088
240807_Smp_TN397_UKH1_0nM_B,Glycine betaine,2743364864
240807_Smp_TN397_UKH1_0nM_C,Glycine betaine,1951058560
240807_Smp_TN397_UKH2_0nM_A,Glycine betaine,1897549184
240807_Smp_TN397_UKH2_0nM_B,Glycine betaine,2696524800
240807_Smp_TN397_UKH2_0nM_C,Glycine betaine,2056461440
240807_Smp_TN397_UKH3_0nM_A,Glycine betaine,5412136960
240807_Smp_TN397_UKH3_0nM_B,Glycine betaine,5507384832
240807_Smp_TN397_UKH3_0nM_C,Glycine betaine,4834569216
240807_Smp_TN397_UKH4_0nM_A,Glycine betaine,7490420736
240807_Smp_TN397_UKH4_0nM_B,Glycine betaine,5388590080
240807_Smp_TN397_UKH4_0nM_C,Glycine betaine,8430097408
240807_Smp_TN397_UKH5_0nM_A,Glycine betaine,7589427712
240807_Smp_TN397_UKH5_0nM_B,Glycine betaine,5137546240
240807_Smp_TN397_UKH5_0nM_C,Glycine betaine,7354941440
240807_Smp_G5_UKG1_0nM_A,Homarine,237946576
240807_Smp_G5_UKG1_0nM_B,Homarine,132301408
240807_Smp_G5_UKG1_0nM_C,Homarine,98172728
240807_Smp_GBT-K1_M0nM_A,Homarine,3237631744
240807_Smp_GBT-K1_M0nM_B,Homarine,3141221376
240807_Smp_GBT-K1_M0nM_C,Homarine,2996972288
240807_Smp_GBT-K2_M0nM_A,Homarine,7652496384
240807_Smp_GBT-K2_M0nM_B,Homarine,4938356224
240807_Smp_GBT-K2_M0nM_C,Homarine,6282014720
240807_Smp_RC078_UKG1_0nM_A,Homarine,7470010368
240807_Smp_RC078_UKG1_0nM_B,Homarine,8775883776
240807_Smp_RC078_UKG1_0nM_C,Homarine,8082191872
240807_Smp_RC078_UKH1_0nM_A,Homarine,5774257664
240807_Smp_RC078_UKH1_0nM_B,Homarine,6610761216
240807_Smp_RC078_UKH1_0nM_C,Homarine,5348746240
240807_Smp_RC078_UKH2_0nM_A,Homarine,15080904704
240807_Smp_RC078_UKH2_0nM_B,Homarine,13424273408
240807_Smp_RC078_UKH2_0nM_C,Homarine,12899534848
240807_Smp_RC104_UCH1_0nM_A,Homarine,4704936448
240807_Smp_RC104_UCH1_0nM_B,Homarine,5853107712
240807_Smp_RC104_UCH1_0nM_C,Homarine,6151453696
240807_Smp_RC104_UKG1_0nM_A,Homarine,2895560448
240807_Smp_RC104_UKG1_0nM_B,Homarine,1938494336
240807_Smp_RC104_UKG1_0nM_C,Homarine,2254146304
240807_Smp_RC104_UKH1_0nM_A,Homarine,3776877056
240807_Smp_RC104_UKH1_0nM_B,Homarine,2573056768
240807_Smp_RC104_UKH1_0nM_C,Homarine,3789975296
240807_Smp_TN397_UCH1_0nM_A,Homarine,303435904
240807_Smp_TN397_UCH1_0nM_B,Homarine,221894688
240807_Smp_TN397_UCH1_0nM_C,Homarine,66052636
240807_Smp_TN397_UKH1_0nM_A,Homarine,133151120
240807_Smp_TN397_UKH1_0nM_B,Homarine,178415152
240807_Smp_TN397_UKH1_0nM_C,Homarine,126180944
240807_Smp_TN397_UKH2_0nM_A,Homarine,264327200
240807_Smp_TN397_UKH2_0nM_B,Homarine,472835680
240807_Smp_TN397_UKH2_0nM_C,Homarine,241925968
240807_Smp_TN397_UKH3_0nM_A,Homarine,2625396736
240807_Smp_TN397_UKH3_0nM_B,Homarine,2434404608
240807_Smp_TN397_UKH3_0nM_C,Homarine,2307893248
240807_Smp_TN397_UKH4_0nM_A,Homarine,3134307584
240807_Smp_TN397_UKH4_0nM_B,Homarine,2700994304
240807_Smp_TN397_UKH4_0nM_C,Homarine,3563025920
240807_Smp_TN397_UKH5_0nM_A,Homarine,2983281920
240807_Smp_TN397_UKH5_0nM_B,Homarine,2520150528
240807_Smp_TN397_UKH5_0nM_C,Homarine,2873763072
240807_Smp_G5_UKG1_0nM_A,"Glycine betaine, 13C5, 15N",1644888192
240807_Smp_G5_UKG1_0nM_B,"Glycine betaine, 13C5, 15N",1658224384
240807_Smp_G5_UKG1_0nM_C,"Glycine betaine, 13C5, 15N",1596494976
240807_Smp_GBT-K1_M0nM_A,"Glycine betaine, 13C5, 15N",1874794240
240807_Smp_GBT-K1_M0nM_B,"Glycine betaine, 13C5, 15N",1930920704
240807_Smp_GBT-K1_M0nM_C,"Glycine betaine, 13C5, 15N",1914060032
240807_Smp_GBT-K2_M0nM_A,"Glycine betaine, 13C5, 15N",1971778688
240807_Smp_GBT-K2_M0nM_B,"Glycine betaine, 13C5, 15N",1910200576
240807_Smp_GBT-K2_M0nM_C,"Glycine betaine, 13C5, 15N",1905556608
240807_Smp_RC078_UKG1_0nM_A,"Glycine betaine, 13C5, 15N",1745909376
240807_Smp_RC078_UKG1_0nM_B,"Glycine betaine, 13C5, 15N",1663851136
240807_Smp_RC078_UKG1_0nM_C,"Glycine betaine, 13C5, 15N",1630547072
240807_Smp_RC078_UKH1_0nM_A,"Glycine betaine, 13C5, 15N",1775813632
240807_Smp_RC078_UKH1_0nM_B,"Glycine betaine, 13C5, 15N",1737255296
240807_Smp_RC078_UKH1_0nM_C,"Glycine betaine, 13C5, 15N",1694753536
240807_Smp_RC078_UKH2_0nM_A,"Glycine betaine, 13C5, 15N",1550341504
240807_Smp_RC078_UKH2_0nM_B,"Glycine betaine, 13C5, 15N",1623665024
240807_Smp_RC078_UKH2_0nM_C,"Glycine betaine, 13C5, 15N",1581383808
240807_Smp_RC104_UCH1_0nM_A,"Glycine betaine, 13C5, 15N",1805859712
240807_Smp_RC104_UCH1_0nM_B,"Glycine betaine, 13C5, 15N",1840127104
240807_Smp_RC104_UCH1_0nM_C,"Glycine betaine, 13C5, 15N",1800826240
240807_Smp_RC104_UKG1_0nM_A,"Glycine betaine, 13C5, 15N",1735525248
240807_Smp_RC104_UKG1_0nM_B,"Glycine betaine, 13C5, 15N",1830056832
240807_Smp_RC104_UKG1_0nM_C,"Glycine betaine, 13C5, 15N",1910760960
240807_Smp_RC104_UKH1_0nM_A,"Glycine betaine, 13C5, 15N",1761633664
240807_Smp_RC104_UKH1_0nM_B,"Glycine betaine, 13C5, 15N",1675632896
240807_Smp_RC104_UKH1_0nM_C,"Glycine betaine, 13C5, 15N",1722290816
240807_Smp_TN397_UCH1_0nM_A,"Glycine betaine, 13C5, 15N",1879248000
240807_Smp_TN397_UCH1_0nM_B,"Glycine betaine, 13C5, 15N",1792204032
240807_Smp_TN397_UCH1_0nM_C,"Glycine betaine, 13C5, 15N",1802437248
240807_Smp_TN397_UKH1_0nM_A,"Glycine betaine, 13C5, 15N",1848912256
240807_Smp_TN397_UKH1_0nM_B,"Glycine betaine, 13C5, 15N",1710052352
240807_Smp_TN397_UKH1_0nM_C,"Glycine betaine, 13C5, 15N",1713598336
240807_Smp_TN397_UKH2_0nM_A,"Glycine betaine, 13C5, 15N",1725609088
240807_Smp_TN397_UKH2_0nM_B,"Glycine betaine, 13C5, 15N",1713390336
240807_Smp_TN397_UKH2_0nM_C,"Glycine betaine, 13C5, 15N",1688990720
240807_Smp_TN397_UKH3_0nM_A,"Glycine betaine, 13C5, 15N",1777274496
240807_Smp_TN397_UKH3_0nM_B,"Glycine betaine, 13C5, 15N",1823571456
240807_Smp_TN397_UKH3_0nM_C,"Glycine betaine, 13C5, 15N",1809304320
240807_Smp_TN397_UKH4_0nM_A,"Glycine betaine, 13C5, 15N",1772004096
240807_Smp_TN397_UKH4_0nM_B,"Glycine betaine, 13C5, 15N",1846258304
240807_Smp_TN397_UKH4_0nM_C,"Glycine betaine, 13C5, 15N",1719552000
240807_Smp_TN397_UKH5_0nM_A,"Glycine betaine, 13C5, 15N",1759865216
240807_Smp_TN397_UKH5_0nM_B,"Glycine betaine, 13C5, 15N",1805987456
240807_Smp_TN397_UKH5_0nM_C,"Glycine betaine, 13C5, 15N",1837399552
240807_Smp_G5_UKG1_0nM_A,"Homarine, 2H3",8686673920
240807_Smp_G5_UKG1_0nM_B,"Homarine, 2H3",8841573376
240807_Smp_G5_UKG1_0nM_C,"Homarine, 2H3",8557675520
240807_Smp_GBT-K1_M0nM_A,"Homarine, 2H3",8735611904
240807_Smp_GBT-K1_M0nM_B,"Homarine, 2H3",9229646848
240807_Smp_GBT-K1_M0nM_C,"Homarine, 2H3",9589548032
240807_Smp_GBT-K2_M0nM_A,"Homarine, 2H3",9834112000
240807_Smp_GBT-K2_M0nM_B,"Homarine, 2H3",9474918400
240807_Smp_GBT-K2_M0nM_C,"Homarine, 2H3",9631851520
240807_Smp_RC078_UKG1_0nM_A,"Homarine, 2H3",8907721728
240807_Smp_RC078_UKG1_0nM_B,"Homarine, 2H3",8635578368
240807_Smp_RC078_UKG1_0nM_C,"Homarine, 2H3",7925984768
240807_Smp_RC078_UKH1_0nM_A,"Homarine, 2H3",8124072960
240807_Smp_RC078_UKH1_0nM_B,"Homarine, 2H3",8357762560
240807_Smp_RC078_UKH1_0nM_C,"Homarine, 2H3",8587232256
240807_Smp_RC078_UKH2_0nM_A,"Homarine, 2H3",8999802880
240807_Smp_RC078_UKH2_0nM_B,"Homarine, 2H3",9338884096
240807_Smp_RC078_UKH2_0nM_C,"Homarine, 2H3",9120001024
240807_Smp_RC104_UCH1_0nM_A,"Homarine, 2H3",8643198976
240807_Smp_RC104_UCH1_0nM_B,"Homarine, 2H3",8501390848
240807_Smp_RC104_UCH1_0nM_C,"Homarine, 2H3",8758286336
240807_Smp_RC104_UKG1_0nM_A,"Homarine, 2H3",8623882240
240807_Smp_RC104_UKG1_0nM_B,"Homarine, 2H3",8505439232
240807_Smp_RC104_UKG1_0nM_C,"Homarine, 2H3",8485463040
240807_Smp_RC104_UKH1_0nM_A,"Homarine, 2H3",9086020608
240807_Smp_RC104_UKH1_0nM_B,"Homarine, 2H3",8532766720
240807_Smp_RC104_UKH1_0nM_C,"Homarine, 2H3",8688770048
240807_Smp_TN397_UCH1_0nM_A,"Homarine, 2H3",8848113664
240807_Smp_TN397_UCH1_0nM_B,"Homarine, 2H3",8473463296
240807_Smp_TN397_UCH1_0nM_C,"Homarine, 2H3",8613590016
240807_Smp_TN397_UKH1_0nM_A,"Homarine, 2H3",8317249536
240807_Smp_TN397_UKH1_0nM_B,"Homarine, 2H3",8600599552
240807_Smp_TN397_UKH1_0nM_C,"Homarine, 2H3",9026760704
240807_Smp_TN397_UKH2_0nM_A,"Homarine, 2H3",9061977088
240807_Smp_TN397_UKH2_0nM_B,"Homarine, 2H3",8986898432
240807_Smp_TN397_UKH2_0nM_C,"Homarine, 2H3",8941873152
240807_Smp_TN397_UKH3_0nM_A,"Homarine, 2H3",9315919872
240807_Smp_TN397_UKH3_0nM_B,"Homarine, 2H3",9394182144
240807_Smp_TN397_UKH3_0nM_C,"Homarine, 2H3",9507520512
240807_Smp_TN397_UKH4_0nM_A,"Homarine, 2H3",8887365632
240807_Smp_TN397_UKH4_0nM_B,"Homarine, 2H3",8151672832
240807_Smp_TN397_UKH4_0nM_C,"Homarine, 2H3",8587323904
240807_Smp_TN397_UKH5_0nM_A,"Homarine, 2H3",8784277504
240807_Smp_TN397_UKH5_0nM_B,"Homarine, 2H3",8605719552
240807_Smp_TN397_UKH5_0nM_C,"Homarine, 2H3",8558416384
